id,stepindex,recipe_id,stepamount,steptitle
2116,1,{null},1/2 tsp,Sugar (powdered)
2118,8,{null},{null},Strain into glass
2119,5,{null},1 dash,Peppers
2138,1,{null},3/4 oz,Vermouth (sweet)
2139,5,{null},{null},Stir slowly
2140,4,{null},1 dash,Tabasco Sauce
2150,4,{null},1 dash,Amaretto
2162,7,{null},{null},Strain into glass
2166,3,{null},7 oz,Club Soda
2169,5,{null},{null},Recommended Triple Sec: Cointreau
2172,1,{null},1 juiced,Lemon
2178,2,{null},1 1/2 oz,Marie Brizard Creme de Mure
2182,3,{null},{null},Stir
2184,2,{null},1/2 Juiced,Lemon
2187,4,{null},{null},Pour tea into glass
2215,5,{null},8 oz,Cointreau
2227,2,{null},1 1/2 oz,Gin
2235,2,{null},{null},Bring water to a boil
2247,2,{null},1 1/2 oz,Rum (white)
2248,11,{null},1/2 oz,Lime Juice
2251,1,{null},1 3/4 oz,Sweet and Sour
2256,0,{null},{null},Tools: Shaker
2259,7,{null},{null},Shake
2269,2,{null},1/2 juiced ,Lemon
2271,0,{null},{null},Tools: Shaker
2300,2,{null}, 3/4 oz,Gin
2308,8,{null},{null},Garnish with a cherry and a pineapple wedge
2313,4,{null},{null},Strain over ice into glass
2315,0,{null},{null},Tools: Shaker
2320,14,{null},garnish,Cherry
2334,9,{null},Garnish,Lemon Twist
2336,2,{null},2 dashes,Worcestershire Sauce
2344,3,{null},1 oz,Lemon Juice
2349,1,{null},2 oz,Whiskey (blended)
2366,3,{null},{null},In mug
2371,6,{null},3 oz,Brandy (cherry)
2372,5,{null},{null},Stir
2383,12,{null},{null},Garnish with a celery stalk and a lime wedge
2387,4,{null},1 tsp,Sugar (powdered)
2390,2,{null},{null},Stir
2393,6,{null},1 white,Egg
2395,5,{null},3-4 cubes,Ice
2401,4,{null},1/2 oz,Lemon Juice
2414,3,{null},3/4 oz,Cognac
2420,0,{null},Fill 1/2,Ice
2426,4,{null},1 oz,Vermouth (dry)
2433,3,{null},1 tsp,Sugar (powdered)
2440,4,{null},1/2 tsp,Sugar (superfine)
2445,1,{null},{null},Chill Mixing Glass
2460,1,{null},{null},Chill glass
2467,3,{null},3/4 oz,Chartreuse (green)
2472,6,{null},{null},Garnish with an lemon slice
2474,1,{null},Fill 1/2,Ice
2485,13,{null},1 sprig,Mint
2486,7,{null},2 sprigs,Mint
2491,9,{null},{null},Serve with a straw
2501,0,{null},{null},Tools: Shaker
2508,5,{null},1 tsp,Galliano
2509,3,{null},1 dash,Soy Sauce
2518,6,{null},{null},Stir
2524,5,{null},{null},Recommended Bitters: Angostura
2525,0,{null},{null},Tools: Blender
2534,8,{null},{null},Strain vodka into snifter
2543,1,{null},1 oz,Gin
2559,7,{null},3 oz,Brandy
2560,5,{null},1 tsp,Sugar (powdered)
2581,0,{null},{null},Tools: Shaker
2582,0,{null},2 1/2 oz,Scotch
2583,0,{null},{null},Tools: Mixing Glass
2595,2,{null},Fill,Ice
2606,0,{null},{null},Tools: Shaker
2616,0,{null},{null},Tools: Shaker
2640,2,{null},2 oz,Gin
2643,1,{null},2 oz,Gin
2668,6,{null},1 slice,Orange
2669,6,{null},Fill,Club Soda
2680,7,{null},{null},Pour out excess sherry
2681,12,{null},{null},Float Rum (151 proof)
2687,4,{null},1/2 oz,Banana Liqueur
2697,5,{null},{null},Shake
2705,2,{null},1 oz,Orange Juice
2706,7,{null}, 1 twist,Lime Peel
2708,4,{null},1/3 oz,Raspberry Syrup
2717,8,{null},2 cups,Tea
2720,0,{null},{null},Tools: Shaker
2724,1,{null},1 1/2 oz,Rum (coconut)
2725,5,{null},1 tbsp,Honey
2739,1,{null},1 oz,Rum (dark)
2751,4,{null},1 oz,Lemon Juice
2753,3,{null},3 oz,Gin
2758,0,{null},{null},Tools: Shaker
2768,5,{null},1 1/2 oz,Pineapple Juice
2772,0,{null},{null},Tools: Shaker
2775,1,{null},Fill,Ice
2777,5,{null},{null},Shake
2785,6,{null},{null},Strain over ice into glass
2790,4,{null},1 white,Egg
2793,5,{null},{null},Strain over ice
2794,3,{null},1 oz,Lemon Juice
2800,2,{null},1 oz,Lemon Juice
2812,5,{null},{null},Shake
2814,11,{null},1/2 oz ,Rum (151 proof)
2815,6,{null},{null},Coat snifter with sherry
2821,0,{null},4 cups,Water
2824,1,{null},Fill 3/4,Ice
2834,8,{null},{null},Recommended Triple Sec: Cointreau
2841,0,{null},Fill 3/4,Ice Cubes
2842,7,{null},garnish,Cherry
2858,3,{null},1/4 oz,Grenadine
2862,5,{null},1 pinch,Black Pepper
2865,6,{null},1 bag,Tea
2871,6,{null},{null},Strain into glass
2872,9,{null},{null},Stir
2874,0,{null},{null},Tools: Shaker
2879,2,{null},1/2 oz,Schnapps (peach)
2885,3,{null},1 oz,Port
2890,0,{null},{null},Tools: Blender
2892,0,{null},1 oz,Amaretto
2897,2,{null},1 oz,Passion Fruit Juice
2901,6,{null},{null},Strain into glass
2911,7,{null},{null},Stir until glass frosts
2913,6,{null},3/4 oz,Coconut Cream
2920,2,{null},1 oz,Midori
2923,5,{null},1 tsp,Sherry (dry)
2946,3,{null},1 tsp,Sugar (superfine)
2959,10,{null},{null},Pour into glass
2960,4,{null},{null},Shake
2961,4,{null},1 bottle,Vodka
2962,9,{null},Garnish,Lemon Peel
2965,4,{null},{null},Shake
2968,2,{null},2 oz,Brandy
2969,7,{null},{null},Pour hot water into mug
2986,0,{null},{null},Tools: Shaker
2987,1,{null},2 oz,Brandy
2992,10,{null},2 pieces,Oranges
2994,6,{null},1 pinch,Salt
2995,1,{null},Add to taste,Club Soda
2996,1,{null},12 oz,Lemonade (frozen)
3018,3,{null},1/2 oz,Schnapps (strawberry)
3024,2,{null},1 oz,Rum (light)
3026,4,{null},6 oz,Rum (white)
3027,7,{null},1/2 slice,Lemon
3032,3,{null},2 tbsp,Ice Cream (Vanilla)
3038,4,{null},1 oz,Beer
3049,9,{null},{null},Blend
3051,4,{null},1/2 oz,Schnapps (Peppermint)
3054,1,{null},1,Coconut (shredded)
3055,7,{null},Garnish,Cherry
3058,4,{null},{null},Stir
3063,7,{null},3/4 oz,Cream
3067,1,{null},1 oz,Vodka
3068,8,{null},1 tbsp,Marinade (mixed-berry)
3074,3,{null},2 oz,Sweet-and-Sour Mix
3078,3,{null},1 tsp,Sugar (powdered)
3084,1,{null},Fill 3/4,Ice
3086,4,{null},{null},In snifter
3102,0,{null},{null},Tools: Shaker
3104,0,{null},{null},Tools: Blender
3114,3,{null},1/2 oz,Orange Curacao
3120,5,{null},1/2 tsp,Grenadine
3128,2,{null},5 oz,Club Soda
3137,5,{null},{null},Pour over Ice
3143,8,{null},1 pinch,Cinammon
3147,11,{null},24 pieces,Cherries (maraschino)
3151,2,{null},6 oz,Cranberry Juice (frozen)
3157,7,{null},12 oz,Beer
3158,4,{null},1 oz,Maraschino Liqueur
3172,1,{null},Fill 3/4,Ice
3174,8,{null},garnish,Cherry
3176,8,{null},{null},Shake
3181,1,{null},Fill 3/4,Ice
3196,4,{null},1 oz,Lemon Juice
3199,2,{null},1 cup,Coconut Milk
3205,3,{null},{null},Stir
3206,4,{null},1 dash,Bitters
3207,8,{null},1 oz,Lime Juice
3208,2,{null},1 oz,Rum (151 proof)
3220,2,{null},1/2 juiced,Lemon
3223,5,{null},3 oz,Club soda
3229,2,{null},1/4 oz,Vodka
3235,1,{null},1 1/2 oz,Gin
3240,3,{null},{null},Stir well
3246,4,{null},1 oz,Triple Sec
3251,6,{null},4 oz,Champagne
3255,6,{null},{null},Shake
3266,0,{null},Fill 1/2,Ice
3274,0,{null},4 oz,White Wine
3275,1,{null},Fill 3/4,Ice
3282,7,{null},1 pinch,Nutmeg
3288,1,{null},1 1/2 oz,Peach Liqueur
3289,0,{null},{null},Tools: Shaker
3298,3,{null},1 cup,Sugar
3307,4,{null},1 oz,Double Cream
3320,2,{null},1 1/2 oz,Vodka
3326,2,{null},1 1/2 oz,Gin
3327,5,{null},1/2 oz,Midori
3331,1,{null},1 oz,Creme de Bananes
3335,9,{null},{null},Strain into glass
3337,5,{null},{null},Blend slowly
3341,6,{null},{null},Garnish with a maraschino cherry and an orange slice
3347,7,{null},{null},Strain into glass
3350,3,{null},4 tbsp,Sugar
3355,7,{null},1 oz,Rum (dark)
3356,3,{null},1 oz,Dr. Pepper
3357,0,{null},{null},Tools: Shaker
3366,0,{null},Fill,Ice
3367,1,{null},2 oz,Gin
3378,3,{null},1/4 oz,Rum (151 proof)
3380,7,{null},1 slice,Lemon
3393,2,{null},1 1/2 oz,Vermouth (dry)
3399,5,{null},{null},Shake
3402,0,{null},{null},Tools: Shaker
3412,7,{null},1 slice,Orange
3413,0,{null},{null},In Pint Glass:
3425,5,{null},{null},Shake
3426,4,{null},1 oz,Sweet and Sour
3427,4,{null},3 oz,Club soda
3435,6,{null},{null},Pour into glass
3436,2,{null},3 oz,Rum (light)
3439,2,{null},1 1/2 oz,Coffee Liqueur
3446,6,{null},1/2 oz,Brandy
3458,1,{null},2-3 Cubes,Ice
3461,0,{null},Fill 1/2,Ice
3462,1,{null},2 oz,Gin (dry)
3470,10,{null},Garnish,Pineapples
3473,6,{null},1/4 oz,Blue Curacao
3477,1,{null},Fill 1/2,Ice
3480,3,{null},1/2 oz,Lemon Juice
3485,6,{null},{null},Strain into glass
3489,2,{null},1 oz,Creme de Cacao (white)
3509,6,{null},{null},Strain into glass
3514,8,{null},1 piece,Cherries (maraschino)
3517,6,{null},2 oz ,Rum (light)
3538,6,{null},Fill,Champagne
3539,3,{null},2 dashes,Maraschino Liqueur
3543,4,{null},1 tsp,Sugar
3553,1,{null},1 1/2 oz,Scotch
3560,4,{null},1/4 oz,Irish Whiskey
3574,3,{null},1 oz,Schnapps (apple)
3577,5,{null},2 1/2 oz,Club Soda
3585,1,{null},1/2 Shaker,Ice
3589,11,{null},{null},Recommended Black Currant Liqueur: Creme de Cassis
3590,3,{null},2 scoops,Ice Cream (vanilla)
3592,0,{null},{null},Tools: Shaker
3594,7,{null},3 oz,Cream Soda
3598,0,{null},2 oz,Port
3606,2,{null},3 oz,Gin (dry)
3607,5,{null},{null},Place in freezer overnight
3609,2,{null},2 oz,Lemon Juice
3613,1,{null},Fill 1/2,Guiness Stout
3621,0,{null},1 oz,Vodka (raspberry)
3635,7,{null},1/2 oz,Orange Juice
3638,7,{null},{null},Garnish with sprinkle of nutmeg
3640,3,{null},1 oz,Scotch
3652,7,{null},1 slice,Orange
3658,5,{null},1 tsp,Sugar
3659,1,{null},2 oz,Irish Whiskey
3663,5,{null},{null},Strain over ice into glass
3665,0,{null},{null},Tools: Mixing Glass
3666,5,{null},2 oz,Creme de Cacao (white)
3669,5,{null},{null},Recommended Rum: Bacardi 151
3675,7,{null},{null},Strain into glass
3682,9,{null},1 slice,Oranges
3688,5,{null},1/4 oz,Jagermeister
3689,6,{null},{null},Scoop into glass
3690,0,{null},{null},Tools: Shaker
3706,2,{null},1/2 oz,Lime Juice
3707,4,{null},{null},Blend until smooth
3708,8,{null},{null},Garnish with an orange slice and a maraschino cherry
3715,2,{null},{null},In Shot Glass:
3722,4,{null},1/2 oz,Vodka
3727,2,{null},2 oz,Gin
3740,6,{null},{null},Blend
3748,3,{null},3/4 oz,Blue Curacao Liqueur
3750,3,{null},1 tsp,Sugar Syrup
3753,4,{null},1 tsp,Sugar (powdered)
3765,1,{null},Fill 3/4,Ice
3766,4,{null},3-5 drops, Brandy (cherry)
3768,9,{null},Garnish,Lemon
3769,4,{null},2 oz,Water
3772,0,{null},{null},Tools: Shaker
3780,8,{null},1/2 oz,Pineapple Juice
3789,1,{null},Fill 3/4,Ice
3793,5,{null},1 white,Egg
3796,1,{null},1/2 oz,Triple Sec
3798,8,{null},garnish,Cherry
3799,1,{null},1 oz,Claret
3800,0,{null},Fill,Ice
3805,6,{null},{null},Shake
3806,6,{null},{null},Shake
3809,6,{null},1 cup,Ice (crushed)
3810,2,{null},1 oz,Lemon Juice
3830,4,{null},{null},Shake
3850,7,{null},Fill,Ginger Ale
3854,5,{null},1 can,Frozen Lemonade
3855,3,{null},Fill,Club Soda
3859,5,{null},{null},Shake
3873,3,{null},1/2 oz,Irish Cream
3874,0,{null},1/2 tsp,Sugar (powdered)
3876,3,{null},1 oz,Orange Juice
3878,5,{null},{null},Pour into glass
3887,5,{null},{null},Shake
3897,3,{null},{null},Dissolve sugar
3899,6,{null},{null},Shake
3905,2,{null},1 oz,Brandy (cherry)
3907,5,{null},1 oz,Heavy Cream
3918,7,{null},{null},Blend until Smooth
3923,7,{null},{null},Strain into glass
3928,8,{null},{null},Strain into glass
3932,2,{null},2 oz,Bourbon
3934,9,{null},1/2 oz,Pina Colada Mix
3937,2,{null},1 oz,Burgundy Wine (sparkling)
3940,5,{null},{null},Shake
3941,2,{null},3-5,Raspberries
3945,3,{null},1 oz,Lemon Juice
3947,6,{null},{null},Chill Cocktail glass
3953,3,{null},1 tsp,Sugar (superfine)
3963,3,{null},1 oz,Orange Juice
3966,1,{null},1 1/4 oz,Schnapps (butterscotch)
3973,4,{null},{null},Stir
3975,6,{null},{null},Strain into a chilled glass
4005,0,{null},{null},Tools: Mixing Glass
4014,6,{null},GarnishRecommended Peach Liqueur: Southern Comfort,Chocolate Shavings
4015,2,{null},1 tsp,Sugar (superfine)
4019,7,{null},{null},Strain into glass
